SubPlot;idTree;Xfield;Yfield;Family;Genus;Species;CircCorr
4;104012;130,0000000000000;24,00000000000000;Peraceae;Pogonophora;schomburgkiana;70,500000000000
4;104013;131,5000000000000;21,50000000000000;Lecythidaceae;Gustavia;hexapetala;46,000000000000
4;104014;134,5000000000000;17,00000000000000;Fabaceae;Bocoa;prouacensis;82,500000000000
4;104015;137,5000000000000;14,00000000000000;Sapotaceae;Manilkara;bidentata;147,000000000000
4;104016;136,5000000000000;14,00000000000000;Melastomataceae;Miconia;tschudyoides;43,000000000000
4;104017;131,5000000000000;11,00000000000000;Chrysobalanaceae;Licania;alba;60,000000000000
4;104019;131,5000000000000;3,50000000000000;Lecythidaceae;Gustavia;hexapetala;46,000000000000
4;104022;136,0000000000000;5,00000000000000;Cordiaceae;Cordia;sagotii;48,500000000000
4;104023;139,0000000000000;4,00000000000000;Sapotaceae;Chrysophyllum;sanguinolentum;102,000000000000
4;104024;134,0000000000000;6,00000000000000;Malvaceae;Sterculia;pruriens;53,500000000000
4;104025;136,0000000000000;11,50000000000000;Cordiaceae;Cordia;sagotii;53,000000000000
4;104026;245,5000000000000;30,00000000000000;Arecaceae;Oenocarpus;bataua var. bataua;59,000000000000
4;104027;174,0000000000000;13,00000000000000;Fabaceae;Bocoa;prouacensis;53,000000000000
4;104028;180,5000000000000;11,50000000000000;Fabaceae;Eperua;falcata;200,000000000000
4;104029;149,5000000000000;9,00000000000000;Meliaceae;Carapa;surinamensis;110,500000000000
4;104030;148,5000000000000;9,50000000000000;Lecythidaceae;Eschweilera;coriacea;46,000000000000
4;104032;140,5000000000000;8,00000000000000;Euphorbiaceae;Conceveiba;guianensis;37,000000000000
4;104033;142,0000000000000;16,00000000000000;Lecythidaceae;Eschweilera;sagotiana;68,000000000000
4;104034;141,5000000000000;20,00000000000000;Fabaceae;Bocoa;prouacensis;45,000000000000
4;104035;139,0000000000000;19,50000000000000;Lecythidaceae;Eschweilera;sagotiana;149,500000000000
4;104037;147,5000000000000;24,00000000000000;Lecythidaceae;Eschweilera;coriacea;135,000000000000
4;104038;143,5000000000000;26,50000000000000;Myristicaceae;Iryanthera;sagotiana;66,000000000000
4;104039;143,5000000000000;27,50000000000000;Euphorbiaceae;Sandwithia;guyanensis;37,000000000000
4;104040;141,0000000000000;26,00000000000000;Fabaceae;Eperua;falcata;207,000000000000
4;104041;141,5000000000000;24,50000000000000;Chrysobalanaceae;Licania;alba;68,000000000000
4;104042;144,0000000000000;39,50000000000000;Fabaceae;Eperua;falcata;164,000000000000
4;104045;141,5000000000000;44,50000000000000;Lecythidaceae;Gustavia;hexapetala;39,000000000000
4;104047;146,5000000000000;46,50000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;67,000000000000
4;104049;141,0000000000000;50,00000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;46,000000000000
4;104050;139,5000000000000;51,50000000000000;Fabaceae;Eperua;falcata;80,500000000000
4;104051;139,5000000000000;55,00000000000000;Burseraceae;Protium;opacum subsp. rabelianum;106,000000000000
4;104052;141,0000000000000;56,00000000000000;Lecythidaceae;Eschweilera;sagotiana;95,500000000000
4;104054;144,0000000000000;63,00000000000000;Ebenaceae;Diospyros;carbonaria;72,000000000000
4;104055;140,5000000000000;65,50000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;58,000000000000
4;104056;143,0000000000000;68,00000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;47,000000000000
4;104057;144,0000000000000;70,00000000000000;Fabaceae;Eperua;falcata;147,500000000000
4;104058;141,5000000000000;70,50000000000000;Bignoniaceae;Jacaranda;copaia subsp. copaia;43,000000000000
4;104059;147,5000000000000;71,50000000000000;Malvaceae;Sterculia;speciosa;62,500000000000
4;104060;148,0000000000000;75,50000000000000;Chrysobalanaceae;Licania;alba;45,500000000000
4;104061;141,5000000000000;77,00000000000000;Fabaceae;Tachigali;melinonii;82,000000000000
4;104062;142,0000000000000;80,00000000000000;Clusiaceae;Tovomita;brevistaminea;36,000000000000
4;104063;145,0000000000000;83,50000000000000;Fabaceae;Eperua;falcata;164,000000000000
4;104065;146,5000000000000;87,50000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;101,000000000000
4;104067;149,5000000000000;99,50000000000000;Lamiaceae;Vitex;triflora;37,000000000000
4;104068;148,0000000000000;102,50000000000000;Fabaceae;Swartzia;grandifolia;36,000000000000
4;104069;147,0000000000000;101,50000000000000;Fabaceae;Eperua;falcata;160,000000000000
4;104070;145,0000000000000;105,50000000000000;Moraceae;Brosimum;utile;59,500000000000
4;104071;143,5000000000000;109,00000000000000;Fabaceae;Eperua;falcata;94,000000000000
4;104073;143,5000000000000;114,00000000000000;Bignoniaceae;Tabebuia;insignis;163,000000000000
4;104074;143,5000000000000;116,50000000000000;Meliaceae;Carapa;surinamensis;93,000000000000
4;104075;149,0000000000000;112,00000000000000;Clusiaceae;Tovomita;brevistaminea;41,000000000000
4;104076;142,5000000000000;105,50000000000000;Sapindaceae;Talisia;praealta;43,000000000000
4;104078;154,5000000000000;116,00000000000000;Euphorbiaceae;Conceveiba;guianensis;93,000000000000
4;104083;180,0000000000000;17,00000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;39,000000000000
4;104088;158,0000000000000;96,50000000000000;Myristicaceae;Iryanthera;hostmannii;82,000000000000
4;104090;154,5000000000000;93,50000000000000;Fabaceae;Eperua;falcata;143,500000000000
4;104091;153,0000000000000;92,50000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;67,500000000000
4;104092;156,5000000000000;85,50000000000000;Meliaceae;Carapa;surinamensis;104,500000000000
4;104093;150,5000000000000;82,50000000000000;Myristicaceae;Iryanthera;hostmannii;76,000000000000
4;104095;152,0000000000000;80,00000000000000;Sapotaceae;Pouteria;gonggrijpii;129,500000000000
4;104096;150,5000000000000;78,00000000000000;Metteniusaceae;Poraqueiba;guianensis;76,500000000000
4;104097;158,0000000000000;82,50000000000000;Calophyllaceae;Caraipa;punctulata;82,000000000000
4;104098;150,0000000000000;72,50000000000000;Myristicaceae;Iryanthera;hostmannii;83,000000000000
4;104099;155,0000000000000;67,00000000000000;Fabaceae;Eperua;falcata;139,500000000000
4;104100;158,5000000000000;68,00000000000000;Moraceae;Brosimum;utile;73,000000000000
4;104104;150,0000000000000;56,00000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;65,500000000000
4;104105;159,5000000000000;59,50000000000000;Chrysobalanaceae;Licania;alba;66,000000000000
4;104110;155,0000000000000;45,50000000000000;Salicaceae;Laetia;procera;136,000000000000
4;104111;149,5000000000000;46,00000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;60,000000000000
4;104115;157,5000000000000;36,50000000000000;Fabaceae;Eperua;falcata;161,500000000000
4;104116;153,5000000000000;30,00000000000000;Euphorbiaceae;Conceveiba;guianensis;56,500000000000
